ASN,domains
59135,3897
9311,3888
60144,3883
4770,3880
14127,3879
200534,3877
41653,3873
42652,3856
42352,3852
24723,3851
131414,3851
61400,3849
21949,3846
45910,3830
35682,3826
39537,3826
205411,3820
29262,3815
6661,3812
42745,3811
132937,3809
213373,3808
20472,3806
6855,3795
198770,3787
151734,3782
263237,3774
7040,3770
44812,3763
31510,3760
44949,3754
15605,3754
43809,3749
17881,3738
207605,3734
33083,3731
25487,3730
204490,3730
48594,3726
199118,3725
210334,3724
24785,3722
63210,3716
139190,3715
6354,3706
28878,3705
136800,3704
20845,3703
197696,3699
59491,3699
147237,3695
202536,3695
134926,3691
26832,3689
39869,3681
55374,3678
57858,3678
52236,3676
62390,3676
19133,3670
1299,3667
17676,3667
15148,3666
61154,3664
43298,3660
207713,3658
44806,3652
132883,3651
63888,3646
198881,3645
15626,3642
20677,3642
21309,3642
6849,3640
8400,3638
23660,3633
16188,3633
212098,3628
1853,3627
13917,3617
39637,3613
24657,3613
61047,3612
10143,3611
39686,3602
29527,3597
60294,3595
38195,3588
140762,3580
53340,3579
4181,3575
263511,3575
62,3573
45146,3572
59795,3570
139016,3568
328723,3564
400956,3563
34594,3555
1897,3547
14626,3547
214124,3546
4058,3545
8855,3544
61317,3539
5645,3536
16247,3535
13645,3535
8903,3534
2386,3532
49328,3528
135542,3527
59432,3523
207083,3520
9188,3516
60435,3515
49100,3514
42298,3513
21217,3510
135360,3503
137,3498
48505,3498
216154,3497
400322,3487
22129,3482
12850,3473
204196,3467
39324,3467
148993,3464
63119,3453
58854,3448
11664,3445
52284,3442
5391,3441
34300,3439
62217,3436
11019,3430
150949,3430
27651,3428
28716,3425
18362,3424
41355,3422
48614,3421
40975,3416
29757,3397
138359,3396
33993,3394
51942,3385
10913,3384
29256,3375
204648,3368
20694,3362
57269,3361
24751,3352
33846,3351
54103,3351
7690,3349
28586,3344
57152,3341
264750,3339
53292,3336
267507,3332
213861,3331
141988,3329
48339,3327
44976,3326
25490,3325
11478,3321
20771,3317
4637,3317
34235,3312
35130,3306
9829,3305
997,3304
37693,3304
43581,3302
61138,3302
40156,3296
51311,3295
206102,3292
41436,3288
147177,3287
20712,3279
